title,description,severity,department_name,team_name,category_name,source_type,system_name,privacy_level,tags_engineering,tags_construction,tags_quality,tags_client,tags_process,metric_timeline_days,metric_cost_impact,metric_hours_affected,impact_schedule_delay,impact_budget_variance_percent,impact_quality_score,impact_client_satisfaction,baseline_expected_timeline,baseline_budget_amount,baseline_quality_target,entities_vendor,entities_client,entities_project_phase,created_by_email,additional_context
"AutoCAD License Shortage Crisis","We are 15 licenses short for the upcoming project surge. Teams are sharing licenses causing productivity delays and version control issues.",CRITICAL,"Engineering","CAD Support","Technology","system","LicenseManager","internal","licensing,software","productivity","tool-access","resource-allocation","resource-management",3,45000,320,14,"25.0",0.3,0.4,"Same day","$180,000","Full team access","Autodesk","Metro Development Group","Project Startup","sarah.executive@faevision.com","Critical for Q4 project pipeline - 8 projects starting simultaneously"
"Structural Calculations Peer Review Backlog","Engineering calculations are backing up in peer review queue. Only 2 licensed engineers available for reviews, creating 2-week delays.",HIGH,"Engineering","Structural Team","Quality Assurance","manual","Internal Review","internal","peer-review,calculations","structural-design","accuracy","compliance","quality-control",14,28000,240,14,"18.0",0.4,0.6,"3 days","$120,000","Same day review","Licensed Engineers","Residential Builders Alliance","Design Development","sarah.executive@faevision.com","State requires licensed engineer review for all structural calcs over 5000 sq ft"
"HVAC Load Calculation Software Outdated","Current HVAC software doesn't support new energy codes. Engineers manually adjusting calculations, increasing errors and time.",HIGH,"Engineering","MEP Team","Technology","system","LoadCalc Pro","internal","hvac,software","energy-efficiency","accuracy","compliance","technology",21,18000,180,10,"12.0",0.5,0.7,"7 days","$85,000","Automated compliance","Software Vendor","Energy Star Clients","Design Development","sarah.executive@faevision.com","New 2024 energy code requires updated calculation methods"
"Site Survey Data Integration Issues","Survey data from field crews arrives in multiple formats. CAD team spends 8+ hours per project converting and verifying coordinates.",MEDIUM,"Engineering","Survey Team","Data Management","system","SurveyLink","internal","survey-data,integration","field-coordination","accuracy","data-integrity","data-management",5,8500,64,3,"6.0",0.6,0.8,"2 hours","$25,000","Direct import","Survey Technologies","Land Development Corp","Site Analysis","sarah.executive@faevision.com","Affects 60% of projects - standardization needed across survey vendors"
"Geotechnical Report Delays","Soil reports arriving 3+ weeks late from testing labs. Foundation design cannot proceed, delaying entire project schedule.",CRITICAL,"Engineering","Geotechnical","External Dependencies","system","GeoLab Portal","internal","geotechnical,soil-testing","foundation-design","schedule","dependency-management","vendor-management",21,65000,160,21,"30.0",0.5,0.3,"7 days","$200,000","On-time delivery","Terra Testing Labs","Mountain View Estates","Site Analysis","sarah.executive@faevision.com","Critical path item - affects 12 active projects currently in foundation design phase"
"Electrical Panel Schedule Errors","Manual panel schedules frequently contain load calculation errors. Field electricians report 40% require corrections during construction.",HIGH,"Engineering","Electrical Team","Quality Assurance","manual","Excel Templates","internal","electrical,load-calculations","field-installation","accuracy","rework-prevention","quality-control",7,22000,120,7,"15.0",0.4,0.5,"Error-free","$95,000","Zero field corrections","Panel Manufacturers","Commercial Property Group","Construction Documents","sarah.executive@faevision.com","Pattern identified across 15 recent projects - automated checking needed"
"Plumbing Fixture Schedule Coordination","Architectural finish schedules don't align with plumbing fixture specifications. Contractors ordering wrong fixtures, causing delays.",MEDIUM,"Engineering","Plumbing Team","Coordination","manual","Specification Manager","internal","plumbing,coordination","fixture-installation","accuracy","schedule","coordination",10,12000,80,7,"8.0",0.6,0.7,"Perfect coordination","$40,000","Zero conflicts","Fixture Suppliers","Luxury Home Builders","Construction Documents","sarah.executive@faevision.com","Coordination issue affects 25% of projects in CD phase"
"Fire Protection Code Updates","Local fire marshal updated sprinkler requirements. Current templates don't reflect new spacing and coverage rules.",HIGH,"Engineering","Fire Protection","Compliance","system","Fire Code Database","internal","fire-protection,compliance","life-safety","compliance","regulatory","regulatory-compliance",30,25000,100,14,"20.0",0.3,0.8,"Full compliance","$115,000","100% code compliance","Fire Equipment Suppliers","Municipal Fire Department","Design Development","sarah.executive@faevision.com","Affects all projects in design - immediate template updates required"
"Utility Coordination Delays","Power company not responding to service requests within required timeframes. Projects waiting 6+ weeks for electrical service availability.",CRITICAL,"Engineering","Utilities Team","External Dependencies","system","UtilityTracker","internal","utilities,power-service","project-schedule","schedule","dependency-management","vendor-management",42,55000,200,42,"35.0",0.4,0.2,"14 days","$250,000","Guaranteed service","Metro Electric Utility","Suburban Development Partners","Preconstruction","sarah.executive@faevision.com","Utility company understaffed - affecting entire region's development timeline"
"CAD Standard Updates Needed","Firm's CAD standards haven't been updated in 18 months. New BIM requirements from clients not reflected in current templates.",MEDIUM,"Engineering","CAD Standards","Standardization","manual","CAD Manual","internal","cad-standards,bim","design-quality","standardization","client-requirements","standardization",45,15000,160,21,"10.0",0.6,0.7,"Current standards","$75,000","Industry standard","Software Providers","BIM-Required Clients","Design Standards","sarah.executive@faevision.com","Client contracts now requiring Level 2 BIM - current standards are Level 1"
